sentence,entity
Attacks can damage public domain.,B-attack can damage B-system I-system.
IDS means Intrusion Detection,B-tool means B-technique I-technique
Snort is used for Intrusion Detection,B-tool is used for B-technique I-technique
Snort can detect network attacks.,B-tool can detect B-attack I-attack.
Snort can also be used as a simple packet logger.,B-tool can also be used as a simple B-tool I-tool.
Snort can analyze real time traffic,B-tool can analyze real time B-data
Snort can analyze real time data flow.,B-tool can analyze real time B-feature I-feature.
Snort can check protocol analysis,B-tool can check B-technique I-technique
Snort can detect different types of attacks,B-tool can B-technique different types of B-attack
Snort checks the packet against user rules,B-tool checks the B-data against B-function I-function
Snort rules can be written in any language,B-function I-function can be written in any B-feature
Snort rules have good structure,B-function I-function have good structure
Snort match previous attack pattern,B-tool match B-feature B-feature B-feature
Snort checks the network behavior,B-tool checks the B-feature B-feature
Snort can discard the bad packet,B-tool can discard the B-data I-data
Snort has a Packet Decoder,B-tool has a B-tool I-tool
Packet Decoder forms the packets,B-tool I-tool forms the B-data
Packet Decoder determines the underlying protocols,B-tool I-tool determines the underlying B-feature
Packet Decoder determines packet data size,B-tool I-tool determines B-data B-feature I-feature
Packet Decoder looks for header anomalies,B-tool I-tool looks for B-vulnerability I-vulnerability
Snort has a Preprocessor,B-tool has a B-tool
Preprocessor verify HTTP anomalies,B-tool verify B-vulnerability I-vulnerability
Preprocessor verify FTP anomalies,B-tool verify B-vulnerability I-vulnerability
Preprocessor can modify packet data,B-tool  can modify B-data I-data
Snort has Detection Engine,B-tool has B-tool I-tool
Detection Engine detects intrusion in packet,B-tool I-tool B-technique B-attack in B-data
Detection Engine chains the rules,B-tool I-tool chains the B-function
Snort has Log Alert system,B-tool has B-tool I-tool I-tool
Snort has Output Module,B-tool has B-tool I-tool
Output Module controls output type,B-tool I-tool controls B-feature B-feature
Output Module sends alerts,B-tool I-tool sends B-feature
Snort set into Sniff mode,B-tool set into B-feature I-feature
Snort can sniff the Ingress,B-tool can B-technique the B-feature
Snort can sniff the Egress.,B-tool can B-technique the B-feature
Ingress captures incoming traffic,B-feature captures B-data I-data
Snort sniffs firewall traffic,B-tool B-technique B-data I-data
Snort has packet logger,B-tool has B-tool I-tool
The packet logger collects data as file,The B-tool I-tool collects B-data as B-data
Snort can output tcpdump pcap,B-tool can output B-data I-data
Snort can output unified2,B-tool can output B-tool
Wireshark can read tcpdump pcap,B-tool can read B-data I-data
Detection alert is added to IP packets,B-tool I-tool is added to B-data I-data
Snort rules is tested using icmp rules,B-function I-function is tested using B-function I-function
Snort rules is tested using system variables,B-function I-function is tested using B-data I-data
system variables can be edited in conf file,B-data I-data can be edited in B-data I-data
system variables can be set as home network,B-data I-data can be set as B-system I-system
system variables can be set external network,B-data I-data can be set B-system I-system
Snort rules is tested using payload options,B-function I-function is tested using B-feature I-feature
payload options shows captured data,B-feature I-feature shows captured B-data
Snort rules is tested using non payload options,B-function I-function is tested using B-feature I-feature I-feature
Network is set as client gateway server,B-system is set as B-system I-system I-system
Packet forwarding enabled on Gateway,B-feature I-feature enabled on B-system
Firewall set to sniff server,B-tool set to B-technique B-system 
Firewall disabled for testing,B-tool disabled for B-function
Blacklist enabled for testing,B-feature enabled for B-function
Land Attack sends spoofed TCP SYN Packets,B-attack I-attack sends B-vulnerability B-data I-data I-data
Nmap is an open source tool,B-tool O O B-feature I-feature B-tool
Nmap is used for network discovery,B-tool O O O B-technique I-technique
Nmap is used for security auditing,B-tool O O O B-technique I-technique
Nmap displays exposed services on a target machine along with other useful information such as the version and OS detection.,B-tool O B-vulnerability B-app O O B-system I-system O O O O B-data O O O B-technique O B-technique I-technique.
Use nmap to send customized packets for network diagnostic and testing,O B-tool O O O B-data O  B-technique I-technique O  B-function
Use nmap to send customized packets for emulating attacks,O B-tool O O send O B-data O O B-attack 
"Nmap is a network mapper that has emerged as one of the most popular, free network discovery tools on the market",B-tool O O B-feature I-feature O O O O O O O O O O O B-technique I-technique B-tool O O O
Nmap is now one of the core tools used by network administrators to map their networks,B-tool  O O O O O O B-tool O O B-securityTeam I-securityTeam O B-function O B-system
"The program can find live hosts on a network, perform port scanning, ping sweeps, OS detection, and version detection.",O B-function O O B-system I-system O O B-system O O B-techniqueI-technique O B-technique I-technique O B-technique I-technique O O B-technique I-technique O
What is Nmap?,O O B-tool O
Nmap is a network scanning tool that uses IP packets to identify all the devices connected to a network and provide information on the services and operating systems they are running,B-tool O O B-technique I-technique B-tool O O B-data I-data O O O O B-system O O O B-system O O B-data O O B-app O B-system I-system O O O
 The program is most commonly used via a command-line interface (though GUI front-ends are also available),The program is most commonly used via a B-tool I-tool (though B-tool I-tool are also available)
"It is available for many different operating systems such as Linux, Free BSD, and Gentoo","It is available for many different B-system I-system such as B-system, B-system I-system, and B-system"
Nmap was developed for enterprise-scale networks and can scan through thousands of connected devices,B-tool was developed for B-system I-system I-system and can B-function through thousands of B-system I-system
"Moreover, Nmap has been increasingly used to inspect IoT security","Moreover, B-tool has been increasingly used to inspect B-technique I-technique"
Nmap provides information on every active IP so you can determine if an IP is being used by a legitimate service or an external attacker.,B-tool provides B-data on every B-feature B-feature so you can determine if an B-feature is being used by a B-feature B-app or an B-attacker I-attacker.
"Your network as a whole, including live hosts, open ports, and the OS of every connected device.","Your B-system as a whole, including B-system I-system, B-feature I-feature, and the B-system of every B-system I-system."
"Vulnerabilities, scan your own server to simulate the process that a hacker would use to attack your site.","B-vulnerability, B-function your own B-system to simulate the B-technique that a B-attacker would use to B-attack your B-system"
The primary uses of Nmap can be broken into three core processes,The primary uses of B-tool can be broken into three core B-technique
"First, the program gives you detailed information on every IP active on your networks, and each IP can then be scanned","First, the program gives you detailed B-data on every B-feature B-feature on your B-system, and each B-feature can then be B-function"
"This allows administratorsto check whether an IP is being used by a legitimate service or an external attacker.",This allows B-securityTeam to check whether an B-feature is being used by a B-feature I-feature or an B-attacker I-attacker
"Secondly, Nmap provides information on your network as a whole","Secondly, B-tool provides B-data on your B-system as a whole"
It can be used to provide a list of live hosts and open ports and identify the OS of every connected device,It can be used to provide a list of B-system I-system and B-feature I-feature and identify the B-system of every B-system I-system
This makes it a valuable tool in ongoing system monitoring and a critical part of pentesting,This makes it a valuable B-tool in ongoing B-technique I-technique and a critical part of B-technique
"Nmap can be used alongside the Metasploit framework, for instance, to probe and then repair network vulnerabilities.","B-tool can be used alongside the B-tool I-tool, for instance, to B-technique and then repair B-vulnerability I-vulnerability."
"Thirdly, Nmap has also become a valuable tool for users looking to protect personal and business websites","Thirdly, B-tool has also become a valuable B-tool for B-user looking to protect B-system and B-system I-system"
"Using Nmap to scan your own web server, particularly if you are hosting your website from home, is essentially simulating a hacker process to attack your site","Using B-tool to B-technique your own B-system I-system, particularly if you are B-feature your B-system  from B-system, is essentially simulating a B-attacker B-technique to B-attack your B-system"
Attacking your own site in this way is a powerful way of identifying security vulnerabilities,B-attack your own B-system in this way is a powerful way of identifying B-vulnerability I-vulnerability
"Nmap is straightforward to use, and most of the tools it provides are familiar to system admins from other programs","B-tool is straightforward to use, and most of the B-tool it provides are familiar to  B-securityTeam I-securityTeam from other B-function"
"Nmap advantage is that it brings a wide range of these tools into one program, rather than forcing you to skip between separate and discrete network monitoring tools.","B-tool advantage is that it brings a wide range of these B-tool into one B-function, rather than forcing you to skip between separate and discrete B-technique I-technique B-tool"
" To use Nmap, you need to be familiar with command-line interfaces"," To use B-tool, you need to be familiar with B-tool I-tool I-tool"
"Most advanced users can write scripts to automate common tasks, but this is unnecessary for basic network monitoring.","Most advanced B-user can write B-function to B-feature common tasks, but this is unnecessary for basic B-technique I-technique."
TCP Full Connect (Vanilla) Scan,B-technique I-technique I-technique I-technique I-technique
we assume that the scanning target’s IP address ,we assume that the B-technique B-system B-feature I-feature
TCP Connect scan completes the 3-way handshake,B-technique I-technique I-technique completes the B-technique I-technique 
"If a port is open, the operating system completed the TCP three-way handshake, and the port scanner immediately closes the connection to avoid DOS. ","If a B-feature is B-feature, the B-system I-system completed the B-feature B-technique I-technique I-technique, and the B-tool I-tool immediately closes the B-feature to avoid B-attack. "
"This is ""noisy” because the services can log the sender IP address and trigger Intrusion Detection Systems",This is B-feature because the B-feature can B-function the B-system B-feature I-feature and trigger B-tool I-tool I-tool
the Full scan has the following features,the B-technique I-technique has the following features
Attempts to completes 3-way handshake with each scanned port,Attempts to completes B-technique I-technique I-technique with each B-vulnerability B-feature
Sends SYN and waits for ACK before sending ACK,B-function B-feature and waits for B-feature before B-function B-feature
Tears down connection using FIN packets,B-feature I-feature B-feature using B-data I-data
"If target port is closed, sender will received either no response, a RESET packet , or an ICMP Port Unreachable packet.","If B-feature I-feature is B-feature, B-system will B-function either no B-feature, a B-data I-data , or an B-data I-data I-data I-data."
"Not stealthy, the connection request can be logged","Not B-vulnerability, the B-feature I-feature can be B-function"
UDP scan checks to see if any UDP ports are listening. ,B-technique I-technique checks to see if any B-feature I-feature are B-feature. 
"Since UDP does not respond with a positive acknowledgment like TCP and only responds to an incoming UDP packet when the port is closed, this type of scan can sometimes show false positives. ","Since B-feature does not B-feature with a B-feature I-feature like B-feature and only B-feature to an B-feature B-data I-data when the B-feature is B-feature, this type of B-technique can sometimes show B-feature I-feature. "
"However, it can also reveal Trojan horses running on high UDP ports and hidden RPC services.","However, it can also B-feature B-attack I-attack running on B-feature I-feature I-feature  and B-vulnerability I-vulnerability I-vulnerability."
It may be quite slow since some machines intentionally slow down responses to this kind of traffic to avoid being overwhelmed. ,It may be quite slow since some B-system intentionally B-feature I-feature I-feature to this kind of B-data to avoid being overwhelmed. 
"Machines running Windows OS, however, do not implement this slowdown feature, so you should use UDP to scan Windows hosts normally.","B-system running B-system I-system, however, do not implement this B-feature I-feature, so you should use B-feature to B-technique B-system B-system  normally."
The UDP Scan sends a UDP packet to target ports to determine if a UDP service is listening.,The B-technique I-technique sends a B-data I-data to B-feature I-feature to determine if a B-feature I-feature is B-feature.
"If the target system returns an ICMP Port Unreachable message, the target port is closed. Otherwise, the target port is assumed to be open.","If the B-system I-system returns an B-data I-data I-data I-data, the B-feature I-feature is B-feature. Otherwise, the B-feature I-feature is assumed to be B-feature."
UDP scan is unreliable since there may be false positives,B-technique I-technique is unreliable since there may be B-feature I-feature
The UDP scan can be very slow due to the following reasons,The B-technique I-technique can be very B-feature due to the following reasons
"Open and filtered ports rarely send any response, leaving Nmap to time out.","B-feature and B-feature I-feature rarely B-function any B-feature, leaving B-tool to B-feature I-feature"
"Closed ports usually send back an ICMP port unreachable error. But many hosts rate limit ICMP port unreachable messages by default (e.g., 1/sec)","B-feature I-feature usually send back an B-data I-data I-data I-data. But many B-system B-technique I-technique B-data I-data I-data I-data by B-feature (e.g., 1/sec)"
"To speed up the UDP scan Increase host parallelism, use min-hostgroup to scan multiple hosts at once","To speed up the B-technique I-technique Increase B-feature I-feature, use B-feature I-feature to B-technique multiple B-system at once"
Scan popular ports first using the -F option to scan the most common UDP ports,B-technique popular B-feature first using the -F option to B-technique the most common B-feature I-feature
Add –version-intensity 0 to version detection scans,Add B-feature I-feature 0 to B-technique I-technique B-technique
Scan from behind the firewall,B-technique from B-feature I-feature I-feature 
Use host-timeout to skip slow hosts,Use B-feature I-feature to skip B-system I-system
"Use -v (verbosity) and chill out, Nmap provides estimated time for scan completion of each host.","Use -v (B-feature) and B-feature I-feature, B-tool provides estimated time for B-technique completion of each B-system."
SYN scan is another form of TCP scanning. ,B-technique I-technique is another form of B-technique I-technique. 
"Rather than using the operating system’s network functions, the port scanner generates raw IP packets and monitors for responses. ","Rather than using the B-system I-system  B-function I-function, the B-tool I-tool generates B-data I-data I-data and B-technique for B-feature. "
This scan type is also known as “half-open scanning” because it never actually opens a full TCP connection. ,This B-technique type is also known as B-technique I-technique because it never actually B-feature a B-feature I-feature I-feature. 
The port scanner generates a SYN packet. ,The B-tool I-tool generates a B-data I-data. 
"If the target port is open, it will respond with an SYN-ACK packet","If the B-feature I-feature is B-feature, it will B-feature with an B-data I-data "
"The scanner host responds with an RST packet, closing the connection before the handshake is completed.","The B-tool B-system B-feature with an B-data I-data, B-feature the B-feature before the B-technique is completed."
"If the port is closed but unfiltered, the target will instantly respond with an RST packet. ","If the B-feature is B-feature but B-feature, the B-system will instantly B-feature with an B-data I-data. "
There is debate over which scan is less intrusive on the target host. ,There is debate over which B-technique is less B-attack on the B-system I-system
SYN scan has the advantage that the individual services never actually receive a connection.,B-technique I-technique has the advantage that the individual B-feature never actually B-function a B-feature
Only sends the initial SYN and waits for ACK to detect open port,Only sends the initial B-feature and waits for B-feature to B-technique B-feature I-feature
"SYN scans stop two-thirds of the way through the 3-way handshake, a.k.a., half-open scan","B-technique I-technique stop two-thirds of the way through the B-technique I-technique, a.k.a., B-technique  I-technique"
Attacker sends a RESET (RST) after receiving an SYN-ACK response,B-attacker sends a B-feature I-feature after B-feature an B-feature I-feature 
"A true connection is never established; thus, the target may not log the connection","A true B-feature is never B-feature; thus, the B-system may not B-function the B-feature"
Faster and stealthier than a full TCP Connect scans,Faster and B-vulnerability than a B-technique I-technique I-technique I-technique
"If the target port is closed, the destination will send a RESET or nothing","If the B-feature I-feature is B-feature, the B-system will send a B-feature or nothing"
SYN flood may cause accidental denial-of-service attacks if the target is slow,B-attack I-attack may cause B-attack B-attack I-attack if the B-system is B-feature
"FIN scan is a stealthy scan, like the SYN scan, but sends a TCP FIN packet instead. ","B-technique I-technique is a B-technique I-technique, like the B-technique I-technique, but B-function a B-data I-data I-data instead. "
"Most, but not all computers will send an RST packet back if they get this input so that the FIN scan can show false positives and negatives, but it may get under the radar of some IDS programs and other countermeasures.","Most, but not all computers will send an B-data I-data back if they get this B-feature so that the B-technique I-technique can show B-feature I-feature and B-feature, but it may get under the radar of some B-tool B-function and other countermeasures."
Ack scanning determines whether the port is filtered or not. ,B-technique I-technique determines whether the B-feature is B-feature or not. 
This is especially good when attempting to probe for the existence of a firewall and its rulesets. ,This is especially good when attempting to B-technique for the existence of a B-tool and its B-function. 
"Simple packet filtering will allow established connections (packets with the ACK bit set), whereas a more sophisticated stateful firewall might not.","Simple B-technique I-technique will allow B-feature I-feature (B-data with the I-data I-data ), whereas a more sophisticated B-feature B-tool might not."
ACK scan Sends a packet with the ACK code bit set to each target port,B-technique I-technique sends a B-data with the B-data I-data I-data I-data to each B-feature I-feature
Allows the attacker to get past some packet filtering devices,Allows the B-attacker to get past some B-technique I-technique B-system 
Allows the attacker to determine what kind of established connections a firewall or router will allow into a network by determining which ports through a firewall allow established connection responses,Allows the B-attacker to determine what kind of B-feature I-feature a B-tool or B-system will allow into a B-system by determining which B-feature through a B-tool allow B-feature I-feature B-feature
"If no response or an ICMP Port Unreachable message is returned, Nmap will label the target port as ""filtered,” meaning that a packet filter is blocking the response.","If no B-feature or an B-data I-data I-data I-data is returned, B-tool will label the B-feature I-feature as B-feature, meaning that a B-technique I-technique is B-feature the B-feature."
Another very stealthy scan that sets all the TCP header flags to off or null. ,Another very B-technique I-technique that sets all the B-feature I-feature I-feature to off or null. 
"This is not normally a valid packet, and some hosts will not know what to do with this.","This is not normally a valid B-data, and some B-system  will not know what to do with this."
"Windows operating systems are in this group, and scanning them with NULL scans will produce unreliable results. ","B-system I-system I-system are in this group, and B-technique them with B-technique I-technique will produce unreliable results. "
"However, for non-Windows servers protected by a firewall, this can be a way to get through.","However, for B-system I-system protected by a B-tool, this can be a way to get through."
"XMAS scan is similar to the NULL scan, except for all the flags in the TCP header is set to on. ","B-technique I-technique is similar to the B-technique I-technique, except for all the B-feature in the B-feature I-feature is set to on. "
Windows machines won’t respond to this due to the way their TCP stack is implemented. ,B-system I-system won’t B-feature to this due to the way their B-feature I-feature is implemented. 
"Xmas scans derive their name from the set of flags that are turned on within a packet. ",Xmas scans derive their name from the set of B-feature that are turned on within a B-data 
"These scans are designed to manipulate the PSH, URG, and FIN flags of the TCP header.","These B-technique are designed to manipulate the B-feature, B-feature, and B-feature I-feature of the B-feature I-feature."
RPC scan is special type of scan looks for machines answering to RPC (Remote Procedure Call) services. ,B-technique I-technique is special type of B-technique looks for B-system answering to B-function (B-function I-function I-function) B-apps. 
"RPC, which allows remote commands to be run on the machine under certain conditions, can be a dangerous service.","B-function, which allows B-function I-function to be run on the B-system  under certain conditions, can be a dangerous B-feature."
"Since RPC services can run on many different ports, it is hard to tell from a normal scan which ones might be running RPC. ","Since B-app I-app can run on many different B-feature, it is hard to tell from a normal B-technique which ones might be running B-function"
This scan will probe the ports found open on a machine with commands to show the program name and version if RPC is running. ,This B-technique will B-technique the B-feature found B-feature on a B-system with B-function to show the B-function B-feature and B-feature if B-function is running. 
It’s not a bad idea to run one of these scans every often to find out if and where you have these services running.,It’s not a bad idea to B-function one of these B-technique every often to find out if and where you have these B-feature B-function.
Scans RPC services using all discovered open TCP/UDP ports on the target to send RPC NULL commands. ,B-technique B-app I-app using all discovered B-feature B-feature I-feature on the B-system to send B-function I-function I-function. 
Tries to determine if an RPC program is listening at the port and identifies type of RPC program,Tries to determine if an B-function B-function is B-feature at the B-feature and identifies type of B-function B-function
IDLE scan is a super stealthy method whereby the scan packets are bounced off an external host,B-technique I-technique is a super B-technique I-technique whereby the B-technique B-data are bounced off an B-system I-system
"You don’t need to have control over the other host, but it does have to set up and meet certain requirements. ","You don’t need to have control over the other B-system, but it does have to set up and meet certain B-feature. "
"You must input the IP address of our ""zombie” host and what port number to use.",You must input the B-feature I-feature of our B-system I-system and what B-feature I-feature to use.
It is one of the more controversial options in Nmap since it really only has a use for malicious attacks.,It is one of the more controversial options in B-tool since it really only has a use for B-attack I-attack.
Probe the zombie’s IP ID and record it. Forge an SYN packet from the zombie and send it to the desired port on the target.,B-technique the B-system B-feature I-feature and record it. B-vulnerability an B-data I-data from the B-system and send it to the desired B-feature on the B-system.
"Depending on the port state, the target’s reaction may or may not cause the zombie’s IP ID to be incre- mented.","Depending on the B-feature I-feature, the B-system reaction may or may not cause the B-system B-feature I-feature to be incremented."
Probe the zombie’s IP ID again. The target port state is then determined by comparing this new IP ID ,B-technique the B-system B-feature I-feature again. The B-system B-feature I-feature is then determined by comparing this new B-feature I-feature
"NSE stands for Nmap Scripting Engine,","B-tool stands for B-tool I-tool I-tool,"
and it is basically a digital library of Nmap scripts that help enhance the default Nmap features and report the results in a traditional Nmap output,and it is basically a digital library of B-function I-function that help enhance the B-feature B-tool B-feature and report the results in a traditional B-tool B-feature
"You can also write and share your own scripts, so you’re not limited to relying on the Nmap default NSE scripts.","You can also write and share your own B-function, so you’re not limited to relying on the B-tool B-feature B-function I-function."
The only requirement for you to write these scripts is that they must be coded using the Lua programming language.,The only requirement for you to write these B-function is that they must be coded using the B-tool I-tool I-tool.
"Four different types can help us enhance the default Nmap features, depending on the target and the scanning phase in which they are run.","Four different types can help us enhance the B-feature B-tool features, depending on the B-system  and the B-technique phase in which they are B-function."
"Prerule scripts are types of scripts run before the rest of any scanning operation, while Nmap doesn’t have any data about the remote target.","B-function I-function are types of B-function run before the rest of any B-technique operation, while B-tool doesn’t have any B-data about the B-system I-system."
"Once the Nmap default scan has finished the host exploration, detection, port scanning, or software discovery, it will perform the host scripts","Once the B-tool B-feature B-technique has finished the B-system B-technique, B-technique, B-technique I-technique, or B-technique I-technique, it will perform the B-function I-function"
Service scripts are a particular set of Nmap scripts that are run against services on the remote host.,B-function I-function are a particular set of B-function I-function that are B-function against B-feature on the B-system I-system.
"These include HTTP service scripts,for example, which can be run against web servers.","These include B-function I-function I-function, for example, which can be B-function against B-system I-system."
"Postrule scripts are run after the entire Nmap scan has finished and are often useful for parsing, formatting, and presenting the different results.","B-function I-function are B-function after the entire B-technique I-technique has finished and are often useful for B-function, B-function, and presenting the different results."
"When dealing with over 600 default Nmap scripts, it is not easy to find the most popular ones by inspecting them one by one. ","When dealing with over 600 B-feature B-function I-function, it is not easy to find the most popular ones by inspecting them one by one. "
auth script - All sorts of authentication and user privilege scripts,B-function I-function - All sorts of B-technique  and B-feature I-feature B-function
broadcast script - Network discovery scripts that use broadcast petitions for intel gathering,B-function I-function  - B-technique I-technique B-function that use B-feature petitions for B-system gathering
brute script - Set of scripts for performing brute force attacks to guess access credentials,B-function I-function - Set of B-function for performing B-attack I-attack I-attack to guess B-feature I-feature
"default script - The most popular Nmap scripts, using -sC by default","B-function I-function - The most popular B-function I-function, using -sC by B-feature"
"discovery script  - Scripts related to network discovery, service discovery and host discovery","B-function I-function  -  B-function related to B-technique I-technique, B-technique I-technique and B-technique I-technique"
dos script - Denial of service attack scripts used to test and perform DOS and floods,B-function I-function   - B-attack I-attack I-attack I-attack B-function used to B-function and B-function B-attack and B-attack
exploit script - Used to perform service exploitation on different CVEs,B-function I-function -  Used to perform B-technique I-technique on different B-vulnerability
external  script -  Scripts that rely on 3rd party services or data,B-function I-function -  B-function that rely on B-app I-app I-app or B-data
"fuzzer script - Used to perform fuzzing attacks against apps, services or networks","B-function I-function - Used to B-function B-attack I-attack against B-app, B-app or B-system"
intrusive script -  All the ’aggressive’ scripts that cause a lot of network noise,B-function I-function -  All the B-feature B-function that cause a lot of B-feature I-feature
malware  script - Malware detections and exploration scripts,B-function I-function - B-technique I-technique and B-technique B-function
safe script - Safe and non-intrusive or noisy scripts,B-function I-function -  B-feature and B-feature or B-feature B-function
"version script - OS, service and software detection scripts","B-function I-function - B-system , B-app and B-technique I-technique B-function"
vuln script - The Nmap vuln category includes vulnerability detection and exploitation scripts,B-function I-function - The B-tool B-vulnerability category includes B-technique I-technique and B-technique B-function
The following is the output of scanning the Metasploitable 2 host.,The following is the B-feature of B-technique the B-system I-system I-system.
"Nmap also allows you to run scripts using wildcards, meaning you can target multiple scripts that finish or end up with any pattern. ","B-tool also allows you to B-function B-function using B-function, meaning you can target multiple B-function that finish or end up with any pattern. "
"For example, if you want to run all the scripts that begin with ’FTP’, you could use this syntax","For example, if you want to B-function all the B-function that begin with B-feature, you could use this B-feature"
This is the perfect solution when you already know which script is going to be used. ,This is the perfect solution when you already know which B-function is going to be used. 
"if we want to run the HTTP-brute script to perform brute force password auditing against HTTP basic, digest, and ntlm authentication, ","if we want to run the B-function I-function to perform B-function I-function B-feature B-technique against B-feature I-feature, B-function, and B-technique  I-technique,"
NSE has the ability to let you write your own scripts and run those scripts locally in your operating system. ,B-tool has the ability to let you write your own B-function and B-function those B-function B-feature in your B-system I-system. 
"Firewall, Intrusion Prevention Systems (IPS), and Intrusion Detection Systems (IDS) are only as robust as you configure them for your perimeter security needs.","B-feature, B-tool I-tool I-tool  I-tool , and B-tool I-tool I-tool I-tool are only as robust as you B-function them for your B-technique I-technique needs."
"Where they reside on your network, how they interact, and improving Penetration (Pen) Testing services is key to having a strong defensive perimeter for your organization.","Where they reside on your B-system, how they interact, and improving B-technique I-technique I-technique I-technique is key to having a strong B-technique I-technique for your B-system."
"IDS network security and IPS security, along with Firewall leveraging, can help provide this.","B-technique I-technique I-technique and B-technique I-technique, along with B-tool leveraging, can help provide this."
"Cyberinfrastructures using prevention platforms require both regularly scheduled performance assessments and changing topology, etc.","B-system using B-technique B-system require both regularly scheduled B-technique I-technique and changing B-feature, etc."
Most industry-standard institutes recommend even more frequent assessments.,Most industry-standard institutes recommend even more frequent B-technique.
It is advised to change your current devices around at a certain frequent level.,It is advised to change your current B-system around at a certain frequent level.
"If they are always static, on-going cybercriminals learn how they always sit on your perimeter and eventually hack them after long periods in scanning for weaknesses.","If they are always B-feature, on-going B-attacker learn how they always sit on your perimeter and eventually B-attack them after long periods in B-technique for B-vulnerability."
"When performing pentest against your own networks, basically, you are evading your own security systems.","When performing B-technique against your own B-system, basically, you are B-technique your own B-system I-system."
We usually refer to these self-targeted evading activities as ethical hacking and perform the pentesting as ‘white- hats’.,We usually refer to these B-technique I-technique I-technique I-technique as B-technique I-technique and perform the B-technique as B-securityTeam.
Pentesting helps understand the danger of real attackers.,B-technique helps understand the danger of real B-attacker.
"If you can sneak around a blocked portmapper port using Nmap direct RPC scanning, then so can the bad guys.","If you can sneak around a B-feature B-tool B-feature using B-tool direct B-technique I-technique, then so can the B-attacker I-attacker."
It is easy to make a mistake in configuring complex firewalls and other devices.,It is easy to make a mistake in B-function complex B-tool and other B-system.
Many of them even come with glaring security holes that conscientious users must find and close.,Many of them even come with glaring B-vulnerability I-vulnerability that conscientious B-user must find and close.
Regular network scanning can help find dangerous implicit rules before attackers do.,Regular B-technique I-technique can help find dangerous implicit B-function before B-attacker do.
There are good reasons for evading IDS as well. Product evaluation is one of the most common.,There are good reasons for B-technique B-tool as well. B-technique I-technique is one of the most common.
"If attackers can slide under the radar by simply adding an Nmap flag or two, the system does not offer much protection.","If B-attacker can slide under the radar by simply adding an B-tool B-feature or two, the B-system  does not offer much B-feature."
Pentesting tools such as Nmap and Metasploit offer many features for evading firewall rules or sneaking past IDSs.,B-tool I-tool such as B-tool and B-tool offer many features for B-technique B-function I-function or B-technique I-technique B-tool.
These capabilities allow ‘bad guys’ to misuse it for ‘evil’ purposes.,These capabilities allow B-attacker I-attacker to misuse it for ‘evil’ purposes.
"However, from the administrator perspectives, mimicking attackers’ behaviors and actions (maybe the best that they can do) toidentify security holes before attackers do.","However, from the B-securityTeam perspectives, mimicking B-attacker behaviors and actions (maybe the best that they can do) to identify B-vulnerability I-vulnerability before B-attacker do."
This lab is by-no-mean the utterly and eagerly promoting Nmap and Metasploit.,This lab is by-no-mean the utterly and eagerly promoting B-tool and B-tool.
It simply introduces the beginning level of cyber defenders,It simply introduces the beginning level of  B-securityTeam I-securityTeam
to start their network security endeavors in the area of penetration testing,to start their B-technique I-technique endeavors in the area of B-technique I-technique
since we know pentesting represents the art of cybersecurity,since we know B-technique represents the art of B-technique
deep understanding of the given security system,deep understanding of the given B-system I-system
The goal of this pentest is to assess the firewall rule setup and IDS system. ,The goal of this B-technique is to B-technique the B-function I-function B-system and B-tool I-tool. 
"In this pentest, we apply the white-box testing strategy, in which a white-box tester has the access and knowledge levels of the system admin, including the knowledge of iptables firewall rules and snort rules setup.","In this B-technique, we apply the B-technique I-technique I-technique, in which a  B-securityTeam I-securityTeam has the access and knowledge levels of the  B-securityTeam I-securityTeam, including the knowledge of B-feature B-function I-function and B-function I-function B-system."
"The goal of the pentest is to explore the configuration issues of iptables and snort, i.e., identify the system weakness due to configuration flaws. ","The goal of the B-technique is to explore the B-feature issues of B-feature and B-tool, i.e., identify the B-system B-vulnerability due to B-vulnerability I-vulnerability. "
"This means that the pen tester knows the iptables and snort configurations, and networking system setup.","This means that the  B-securityTeam I-securityTeam knows the B-app and B-tool B-feature, and B-system I-system I-system."
"During the pen test, the pen tester can monitor the actions or output of iptables and snort.","During the B-technique I-technique, the  B-securityTeam I-securityTeam can B-technique the actions or B-feature of B-feature and B-tool."
The pen tester tries to explore vulnerabilities focusing on two areas,The  B-securityTeam I-securityTeam tries to B-technique B-vulnerability focusing on two areas
"System configurations - firewall setup such as open, close, filter, unfilter ports, reachable services or nodes, firewall performance measurements, etc.","B-feature I-feature - B-tool B-system such as B-feature, B-feature, B-feature,  B-feature B-feature, reachable B-app or B-system, B-tool B-technique I-technique, etc."
"IDS setup such as detection threshold setup, success, and missed attack scenarios, etc.","B-tool B-system such as B-feature I-feature I-feature, success, and missed B-attack I-attack, etc."
