DocNo,Sno,sentence,tag
D1,1,Attacks can damage public domain,B-attack O O B-system I-system
D1,2,IDS means Intrusion Detection,B-tool O B-technique I-technique
D1,3,Snort is used for Intrusion Detection,B-tool O O O B-technique I-technique
D1,4,Snort can detect network attacks,B-tool O O B-attack I-attack
D1,5,Snort can also be used as a simple packet logger,B-tool O O O O O O O B-tool I-tool
D1,6,Snort can analyze real time traffic,B-tool O O O O B-data
D1,7,Snort can analyze real time data flow,B-tool O O O O B-feature I-feature
D1,8,Snort can check protocol analysis,B-tool O O B-technique I-technique
D1,9,Snort can detect different types of attacks,B-tool O B-technique O O O B-attack
D1,10,Snort checks the packet against user rules,B-tool O O B-data O B-function I-function
D1,11,Snort rules can be written in any language,B-function I-function O O O O O B-feature
D1,12,Snort rules have good structure,B-function I-function O O O
D1,13,Snort match previous attack pattern,B-tool O B-feature B-feature B-feature
D1,14,Snort checks the network behavior,B-tool O O B-feature B-feature
D1,15,Snort can discard the bad packet,B-tool O O O B-data I-data
D1,16,Snort has a Packet Decoder,B-tool O O B-tool I-tool
D1,17,Packet Decoder forms the packets,B-tool I-tool O O B-data
D1,18,Packet Decoder determines the underlying protocols,B-tool I-tool O O O B-feature
D1,19,Packet Decoder determines packet data size,B-tool I-tool O B-data B-feature I-feature
D1,20,Packet Decoder looks for header anomalies,B-tool I-tool O O B-vulnerability I-vulnerability
D1,21,Snort has a Preprocessor,B-tool O O B-tool
D1,22,Preprocessor verify HTTP anomalies,B-tool O B-vulnerability I-vulnerability
D1,23,Preprocessor verify FTP anomalies,B-tool O B-vulnerability I-vulnerability
D1,24,Preprocessor can modify packet data,B-tool  O O B-data I-data
D1,25,Snort has Detection Engine,B-tool O B-tool I-tool
D1,26,Detection Engine detects intrusion in packet,B-tool I-tool B-technique B-attack O B-data
D1,27,Detection Engine chains the rules,B-tool I-tool O O B-function
D1,28,Snort has Log Alert system,B-tool O B-tool I-tool I-tool
D1,29,Snort has Output Module,B-tool O B-tool I-tool
D1,30,Output Module controls output type,B-tool I-tool O B-feature B-feature
D1,31,Output Module sends alerts,B-tool I-tool O B-feature
D1,32,Snort set into Sniff mode,B-tool O O B-feature I-feature
D1,33,Snort can sniff the Ingress,B-tool O B-technique O B-feature
D1,34,Snort can sniff the Egress,B-tool O B-technique O B-feature
D1,35,Ingress captures incoming traffic,B-feature O B-data I-data
D1,36,Snort sniffs firewall traffic,B-tool B-technique B-data I-data
D1,37,Snort has packet logger,B-tool O B-tool I-tool
D1,38,The packet logger collects data as file,O B-tool I-tool O B-data O B-data
D1,39,Snort can output tcpdump pcap,B-tool O O B-data I-data
D1,40,Snort can output unified2,B-tool O O B-tool
