DocNo,sentence,tag
D1,Attacks,B-attack
D1,can,O
D1,damage,O
D1,public,B-system
D1,domain,I-system
,,
D1,IDS,B-tool
D1,means,O
D1,Intrusion,B-technique
D1,Detection,I-technique
,,
D1,Snort,B-tool
D1,is,O
D1,used,O
D1,for,O
D1,Intrusion,B-technique
D1,Detection,I-technique
,,
D1,Snort,B-tool
D1,can,O
D1,detect,O
D1,network,B-attack
D1,attacks,I-attack
,,
D1,Snort,B-tool
D1,can,O
D1,also,O
D1,be,O
D1,used,O
D1,as,O
D1,a,O
D1,simple,O
D1,packet,B-tool
D1,logger,I-tool
,,
D1,Snort,B-tool
D1,can,O
D1,analyze,O
D1,real,O
D1,time,O
D1,traffic,B-data
,,
D1,Snort,B-tool
D1,can,O
D1,analyze,O
D1,real,O
D1,time,O
D1,data,B-feature
D1,flow,I-feature
,,
D1,Snort,B-tool
D1,can,O
D1,check,O
D1,protocol,B-technique
D1,analysis,I-technique
,,
D1,Snort,B-tool
D1,can,O
D1,detect,B-technique
D1,different,O
D1,types,O
D1,of,O
D1,attacks,B-attack
,,
D1,Snort,B-tool
D1,checks,O
D1,the,O
D1,packet,B-data
D1,against,O
D1,user,B-function
D1,rules,I-function
,,
D1,Snort,B-function
D1,rules,I-function
D1,can,O
D1,be,O
D1,written,O
D1,in,O
D1,any,O
D1,language,B-feature
,,
D1,Snort,B-function
D1,rules,I-function
D1,have,O
D1,good,O
D1,structure,O
,,
D1,Snort,B-tool
D1,match,O
D1,previous,B-feature
D1,attack,B-feature
D1,pattern,B-feature
,,
D1,Snort,B-tool
D1,checks,O
D1,the,O
D1,network,B-feature
D1,behavior,B-feature
,,
D1,Snort,B-tool
D1,can,O
D1,discard,O
D1,the,O
D1,bad,B-data
D1,packet,I-data
,,
D1,Snort,B-tool
D1,has,O
D1,a,O
D1,Packet,B-tool
D1,Decoder,I-tool
,,
D1,Packet,B-tool
D1,Decoder,I-tool
D1,forms,O
D1,the,O
D1,packets,B-data
,,
D1,Packet,B-tool
D1,Decoder,I-tool
D1,determines,O
D1,the,O
D1,underlying,O
D1,protocols,B-feature
,,
D1,Packet,B-tool
D1,Decoder,I-tool
D1,determines,O
D1,packet,B-data
D1,data,B-feature
D1,size,I-feature
,,
D1,Packet,B-tool
D1,Decoder,I-tool
D1,looks,O
D1,for,O
D1,header,B-vulnerability
D1,anomalies,I-vulnerability
,,
D1,Snort,B-tool
D1,has,O
D1,a,O
D1,Preprocessor,B-tool
,,
D1,Preprocessor,B-tool
D1,verify,O
D1,HTTP,B-vulnerability
D1,anomalies,I-vulnerability
,,
D1,Preprocessor,B-tool
D1,verify,O
D1,FTP,B-vulnerability
