,Unnamed: 0,Unnamed: 0.1,sentence,tag,entity,relation
0,0,0,Attacks , attack,"('Attacks ', ' attack')",can_harm
1,1,1,public domain , system ,"('public domain ', ' system ')",
2,2,2, ,blank, ,
3,3,3,IDS , tool,"('IDS ', ' tool')",uses
4,4,4,Intrusion Detection , technique ,"('Intrusion Detection ', ' technique ')",
5,5,5, ,blank, ,
6,6,6,Snort , tool,"('Snort ', ' tool')",uses
7,7,7,Intrusion Detection , technique ,"('Intrusion Detection ', ' technique ')",
8,8,8, ,blank, ,
9,9,9,Snort , tool,"('Snort ', ' tool')",can_detect
10,10,10,network attacks , attack ,"('network attacks ', ' attack ')",
11,11,11, ,blank, ,
12,12,12,Snort , tool,"('Snort ', ' tool')",is_part_of
13,13,13,packet logger , tool ,"('packet logger ', ' tool ')",
14,14,14, ,blank, ,
15,15,15,Snort , tool,"('Snort ', ' tool')",can_analyze
16,16,16,traffic , data,"('traffic ', ' data')",
17,17,17, ,blank, ,
18,18,18,Snort , tool,"('Snort ', ' tool')",has_a
19,19,19,data flow , feature ,"('data flow ', ' feature ')",
20,20,20, ,blank, ,
21,21,21,Snort , tool,"('Snort ', ' tool')",uses
22,22,22,protocol analysis , technique ,"('protocol analysis ', ' technique ')",
23,23,23, ,blank, ,
24,24,24,Snort , tool,"('Snort ', ' tool')",uses
25,25,25,detect , technique,"('detect ', ' technique')",can_detect
26,26,26,attacks , attack,"('attacks ', ' attack')",
27,27,27, ,blank, ,
28,28,28,Snort , tool,"('Snort ', ' tool')",can_analyze
29,29,29,packet , data,"('packet ', ' data')",
30,30,30,user rules , function ,"('user rules ', ' function ')",
31,31,31, ,blank, ,
32,32,32,Snort rules , function ,"('Snort rules ', ' function ')",has_a
33,33,33,language , feature,"('language ', ' feature')",
34,34,34, ,blank, ,
35,35,35,Snort rules , function ,"('Snort rules ', ' function ')",
36,36,36, ,blank, ,
37,37,37,Snort , tool,"('Snort ', ' tool')",has_a
38,38,38,previous , feature,"('previous ', ' feature')",
39,39,39,attack , feature,"('attack ', ' feature')",
40,40,40,pattern , feature,"('pattern ', ' feature')",
41,41,41, ,blank, ,
42,42,42,Snort , tool,"('Snort ', ' tool')",has_a
43,43,43,network , feature,"('network ', ' feature')",
44,44,44,behavior , feature,"('behavior ', ' feature')",
45,45,45, ,blank, ,
46,46,46,Snort , tool,"('Snort ', ' tool')",can_analyze
47,47,47,bad packet , data ,"('bad packet ', ' data ')",
48,48,48, ,blank, ,
49,49,49,Snort , tool,"('Snort ', ' tool')",is_part_of
50,50,50,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')",
51,51,51, ,blank, ,
52,52,52,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')",can_analyze
53,53,53,packets , data,"('packets ', ' data')",
54,54,54, ,blank, ,
55,55,55,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')",has_a
56,56,56,protocols , feature,"('protocols ', ' feature')",
57,57,57, ,blank, ,
58,58,58,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')",can_analyze
59,59,59,packet , data,"('packet ', ' data')",
60,60,60,data size , feature ,"('data size ', ' feature ')",
61,61,61, ,blank, ,
