,0,1,2
0,Attacks,can_harm,public domain
1,IDS,uses,Intrusion Detection
2,Snort,uses,Intrusion Detection
3,Snort,can_detect,network attacks
4,Snort,is_part_of,packet logger
5,Snort,can_analyze,traffic
6,Snort,has_a,data flow
7,Snort,uses,protocol analysis
8,Snort,uses,detect
9,detect,can_detect,attacks
10,Snort,can_analyze,packet
11,Snort rules,has_a,language
12,Snort,has_a,previous
13,Snort,has_a,network
14,Snort,can_analyze,bad packet
15,Snort,is_part_of,Packet Decoder
16,Packet Decoder,can_analyze,packets
17,Packet Decoder,has_a,protocols
18,Packet Decoder,can_analyze,packet
19,Packet Decoder,can_analyze,header anomalies
20,Snort,is_part_of,Preprocessor
21,Preprocessor,can_analyze,HTTP anomalies
22,Preprocessor,can_analyze,FTP anomalies
23,Preprocessor,can_analyze,packet data
24,Snort,is_part_of,Detection Engine
25,Detection Engine,uses,detects
26,detects,can_detect,intrusion
27,intrusion,can_harm,packet
28,Detection Engine,has_a,rules
29,Snort,is_part_of,Log Alert system
30,Snort,is_part_of,Output Module
31,Output Module,has_a,output
32,Output Module,has_a,alerts
33,Snort,has_a,Sniff mode
34,Snort,uses,sniff
35,Snort,uses,sniff
36,Ingress,can_analyze,incoming traffic
37,Snort,uses,sniffs
38,Snort,is_part_of,packet logger
39,packet logger,can_analyze,data
40,Snort,can_analyze,tcpdump pcap
41,Snort,is_part_of,unified2
42,Wireshark,can_analyze,tcpdump pcap
43,Detection alert,can_analyze,IP packets
44,Snort rules,can_analyze,system variables
45,Snort rules,has_a,payload options
46,payload options,can_analyze,data
47,Snort rules,has_a,non payload options
48,Packet forwarding,can_analyze,Gateway
49,Firewall,uses,sniff
50,Firewall,has_a,testing
51,Nmap,has_a,open source
52,open source,is_part_of,tool
53,Nmap,uses,network discovery
54,Nmap,uses,security auditing
55,Nmap,can_analyze,exposed
56,target machine,uses,information
57,nmap,can_analyze,packets
58,nmap,can_analyze,packets
59,Nmap,has_a,network mapper
60,network discovery,has_a,tools
61,Nmap,is_part_of,tools
62,network administrators,implements,map
63,map,can_analyze,networks
64,program,can_analyze,live hosts
65,Nmap,uses,network scanning
66,network scanning,has_a,tool
67,tool,can_analyze,IP packets
68,network,uses,information
69,command-line interface,is_part_of,GUI front-ends
70,Nmap,can_analyze,enterprise-scale networks
71,scan,can_analyze,connected devices
72,Nmap,uses,IoT security
73,Nmap,can_analyze,information
74,legitimate,can_analyze,service
75,live hosts,has_a,open ports
76,open ports,can_analyze,OS
77,scan,can_analyze,server
78,hacker,implements,attack
79,attack,can_harm,site
80,Nmap,uses,processes
81,active,can_analyze,networks
82,networks,has_a,IP
83,administrators,can_analyze,IP
84,Nmap,can_analyze,information
85,live hosts,has_a,open ports
86,open ports,can_analyze,OS
87,tool,uses,system monitoring
88,Nmap,is_part_of,Metasploit framework
89,Metasploit framework,uses,probe
90,probe,can_analyze,network vulnerabilities
91,Nmap,is_part_of,tool
92,users,uses,personal
93,Nmap,uses,scan
94,web server,has_a,hosting
95,hosting,can_analyze,website
96,hacker,uses,process
97,process,can_detect,attack
98,attack,can_harm,site
99,Attacking,can_harm,site
100,site,can_expose,security vulnerabilities
101,Nmap,is_part_of,tools
102,system admins,implements,programs
103,Nmap,is_part_of,tools
104,tools,has_a,program
105,network monitoring,has_a,tools
106,Nmap,is_part_of,command-line interfaces
107,scripts,has_a,automate
108,target�s,has_a,IP address
109,open,can_analyze,operating system
110,operating system,has_a,TCP
111,three-way handshake,has_a,port scanner
112,port scanner,has_a,connection
113,connection,can_detect,DOS
114,log,can_analyze,sender
115,sender,has_a,IP address
116,IP address,is_part_of,Intrusion Detection Systems
117,3-way handshake,can_analyze,scanned
118,Sends,has_a,SYN
119,sending,has_a,ACK
120,connection,can_analyze,FIN packets
121,closed,can_analyze,sender
122,received,has_a,response
123,response,can_analyze,RESET packet
124,incoming,can_analyze,UDP packet
125,reveal,can_detect,Trojan horses
126,high UDP ports,can_analyze,hidden RPC services
127,machines,has_a,slow down responses
128,slow down responses,can_analyze,traffic
129,Windows OS,has_a,slowdown feature
130,target system,uses,ICMP Port Unreachable message
131,send,has_a,response
132,response,is_part_of,Nmap
133,Nmap,has_a,time out
134,Closed ports,can_analyze,ICMP port unreachable error
135,host-timeout,can_analyze,slow hosts
136,chill out,is_part_of,Nmap
137,Nmap,uses,scan
138,port scanner,can_analyze,raw IP packets
139,port scanner,can_analyze,SYN packet
140,respond,can_analyze,SYN-ACK packet
141,scanner,can_analyze,host
142,host,has_a,responds
143,responds,can_analyze,RST packet
144,unfiltered,can_analyze,target
145,target,has_a,respond
146,respond,can_analyze,RST packet
147,scan,can_detect,intrusive
148,intrusive,can_harm,target host
149,receive,has_a,connection
150,Attacker,uses,RESET RST
151,established,can_analyze,target
152,log,has_a,connection
153,closed,can_analyze,destination
154,destination,has_a,RESET
155,SYN flood,is_part_of,accidental
156,accidental,is_part_of,denial-of-service attacks
157,denial-of-service attacks,can_harm,target
158,target,has_a,slow
159,sends,can_analyze,TCP FIN packet
160,negatives,is_part_of,IDS
161,IDS,has_a,programs
162,probe,has_a,firewall
163,firewall,has_a,rulesets
164,established connections,can_analyze,packets ACK bit
165,stateful,is_part_of,firewall
166,attacker,uses,packet filtering
167,attacker,uses,established connections
168,established connections,is_part_of,firewall
169,firewall,can_analyze,router
170,network,has_a,ports
171,ports,is_part_of,firewall
172,firewall,has_a,established connection
173,response,can_analyze,ICMP Port Unreachable message
174,Nmap,has_a,target port
175,non-Windows servers,has_a,firewall
176,Windows machines,has_a,respond
177,flags,can_analyze,packet
178,Remote Procedure Call,can_analyze,services
179,remote commands,can_analyze,machine
180,machine,has_a,service
181,RPC services,has_a,ports
182,open,can_analyze,machine
183,program,has_a,name
184,RPC services,has_a,open
185,TCP/UDP ports,can_analyze,target
186,program,has_a,listening
187,host,has_a,requirements
188,IP address,can_analyze,zombie host
