,Unnamed: 0,e1,r,e2
0,1,Attacks,can_harm,public domain
1,2,IDS,uses,Intrusion Detection
2,3,Snort,uses,Intrusion Detection
3,4,Snort,can_detect,network attacks
4,5,packet logger,is_part_of,Snort
5,6,Snort,can_analyze,traffic
6,7,Snort,has_a,data flow
7,8,Snort,uses,protocol analysis
8,9,Snort,uses,detection technique
9,10,detection technique,can_detect,attacks
10,11,Snort,can_analyze,packet
11,12,Snort rules,has_a,language
12,13,Snort,can_analyze,previous attack pattern
13,14,Snort,can_analyze,network behavior
14,15,Snort,can_analyze,bad packet
15,16,Packet Decoder,is_part_of,Snort
16,17,Packet Decoder,can_analyze,packets
17,18,Packet Decoder,has_a,protocols
18,19,Packet Decoder,can_analyze,packet
19,20,Packet Decoder,can_analyze,header anomalies
20,21,Preprocessor,is_part_of,Snort
21,22,Preprocessor,can_analyze,HTTP anomalies
22,23,Preprocessor,can_analyze,FTP anomalies
23,24,Preprocessor,can_analyze,packet data
24,25,Detection Engine,is_part_of,Snort
25,26,Detection Engine,uses,detection technique
26,27,detection technique,can_detect,intrusion
27,28,intrusion,can_harm,packet
28,29,Detection Engine,has_a,rules
29,30,Log Alert system,is_part_of,Snort
30,31,Output Module,is_part_of,Snort
31,32,Output Module,has_a,output
32,33,Output Module,has_a,alerts
33,34,Snort,has_a,Sniff mode
34,35,Snort,uses,sniff
35,36,Ingress,can_analyze,incoming traffic
36,37,packet logger,can_analyze,data
37,38,Snort,can_analyze,tcpdump pcap
38,39,unified2,is_part_of,Snort
39,40,Wireshark,can_analyze,tcpdump pcap
40,41,Detection alert,can_analyze,IP packets
41,42,Snort rules,can_analyze,system variables
42,43,Snort rules,has_a,payload options
43,44,payload options,can_analyze,data
44,45,Snort rules,has_a,non payload options
45,46,Packet forwarding,can_analyze,Gateway
46,47,Firewall,uses,sniff
47,48,Firewall,has_a,testing
48,49,Nmap,has_a,open source
49,50,open source,is_part_of,tool
50,51,Nmap,uses,network discovery
51,52,Nmap,uses,security auditing
52,53,Nmap,can_analyze,exposed
53,54,target machine,uses,information
54,55,nmap,can_analyze,packets
56,57,Nmap,has_a,network mapper
57,58,network discovery,has_a,tools
58,59,Nmap,is_part_of,tools
59,60,network administrators,implements,map
60,61,map,can_analyze,networks
61,62,program,can_analyze,live hosts
62,63,Nmap,uses,network scanning
63,64,network scanning,has_a,tool
64,65,tool,can_analyze,IP packets
65,66,network,uses,information
66,67,Nmap,can_analyze,enterprise-scale networks
67,68,scan,can_analyze,connected devices
68,69,Nmap,uses,IoT security
69,70,Nmap,can_analyze,information
70,71,legitimate,can_analyze,service
71,72,live hosts,has_a,open ports
72,73,open ports,can_analyze,OS
73,74,scan,can_analyze,server
74,75,hacker,implements,attack
75,76,attack,can_harm,site
76,77,Nmap,uses,processes
77,78,active,can_analyze,networks
78,79,networks,has_a,IP
79,80,administrators,can_analyze,IP
83,84,tool,uses,system monitoring
84,85,Nmap,is_part_of,Metasploit framework
85,86,Metasploit framework,uses,probe
86,87,probe,can_analyze,network vulnerabilities
88,89,users,uses,personal
89,90,Nmap,uses,scan
90,91,web server,has_a,hosting
91,92,hosting,can_analyze,website
92,93,hacker,uses,process
93,94,process,can_detect,attack
95,96,Attacking,can_harm,site
96,97,site,can_expose,security vulnerabilities
98,99,system admins,implements,programs
99,100,tools,has_a,program
