,e1,r,e2
1,Attacks,can_harm,public domain
2,IDS,uses,Intrusion Detection
3,Snort,uses,Intrusion Detection
4,Snort,can_detect,network attacks
5,packet logger,is_part_of,Snort
6,Snort,can_analyze,traffic
7,Snort,has_a,data flow
8,Snort,uses,protocol analysis
9,Snort,uses,detection technique
10,detection technique,can_detect,attacks
11,Snort,can_analyze,packet
12,Snort rules,has_a,language
13,Snort,can_analyze,previous attack pattern
14,Snort,can_analyze,network behavior
15,Snort,can_analyze,bad packet
16,Packet Decoder,is_part_of,Snort
17,Packet Decoder,can_analyze,packets
18,Packet Decoder,has_a,protocols
19,Packet Decoder,can_analyze,packet
20,Packet Decoder,can_analyze,header anomalies
21,Preprocessor,is_part_of,Snort
22,Preprocessor,can_analyze,HTTP anomalies
23,Preprocessor,can_analyze,FTP anomalies
24,Preprocessor,can_analyze,packet data
25,Detection Engine,is_part_of,Snort
26,Detection Engine,uses,detection technique
27,detection technique,can_detect,intrusion
28,intrusion,can_harm,packet
29,Detection Engine,has_a,rules
30,Log Alert system,is_part_of,Snort
31,Output Module,is_part_of,Snort
32,Output Module,has_a,output
33,Output Module,has_a,alerts
34,Snort,has_a,Sniff mode
35,Snort,uses,sniff
36,Ingress,can_analyze,incoming traffic
37,packet logger,can_analyze,data
38,Snort,can_analyze,tcpdump pcap
39,unified2,is_part_of,Snort
40,Wireshark,can_analyze,tcpdump pcap
41,Detection alert,can_analyze,IP packets
42,Snort rules,can_analyze,system variables
43,Snort rules,has_a,payload options
44,payload options,can_analyze,data
45,Snort rules,has_a,non payload options
46,Packet forwarding,can_analyze,Gateway
47,Firewall,uses,sniff
48,Firewall,has_a,testing
49,Nmap,has_a,open source
50,open source,is_part_of,tool
51,Nmap,uses,network discovery
52,Nmap,uses,security auditing
53,Nmap,can_analyze,exposed
54,target machine,uses,information
55,nmap,can_analyze,packets
56,nmap,can_analyze,packets
57,Nmap,has_a,network mapper
58,network discovery,has_a,tools
59,Nmap,is_part_of,tools
60,network administrators,implements,map
61,map,can_analyze,networks
62,program,can_analyze,live hosts
63,Nmap,uses,network scanning
64,network scanning,has_a,tool
65,tool,can_analyze,IP packets
66,network,uses,information
67,Nmap,can_analyze,enterprise-scale networks
68,scan,can_analyze,connected devices
69,Nmap,uses,IoT security
70,Nmap,can_analyze,information
71,legitimate,can_analyze,service
72,live hosts,has_a,open ports
73,open ports,can_analyze,OS
74,scan,can_analyze,server
75,hacker,implements,attack
76,attack,can_harm,site
77,Nmap,uses,processes
78,active,can_analyze,networks
79,networks,has_a,IP
80,administrators,can_analyze,IP
81,Nmap,can_analyze,information
82,live hosts,has_a,open ports
83,open ports,can_analyze,OS
84,tool,uses,system monitoring
85,Nmap,is_part_of,Metasploit framework
86,Metasploit framework,uses,probe
87,probe,can_analyze,network vulnerabilities
88,Nmap,is_part_of,tools
89,users,uses,personal
90,Nmap,uses,scan
91,web server,has_a,hosting
92,hosting,can_analyze,website
93,hacker,uses,process
94,process,can_detect,attack
95,attack,can_harm,site
96,Attacking,can_harm,site
97,site,can_expose,security vulnerabilities
98,Nmap,is_part_of,tools
99,system admins,implements,programs
100,tools,has_a,program
101,network monitoring,has_a,tools
102,Nmap,is_part_of,command-line interfaces
103,scripts,has_a,automate
104,target,has_a,IP address
105,open,can_analyze,operating system
106,operating system,has_a,TCP
107,three-way handshake,has_a,port scanner
108,port scanner,has_a,connection
109,connection,can_detect,DOS
110,log,can_analyze,sender
111,sender,has_a,IP address
112,IP address,is_part_of,Intrusion Detection Systems
113,3-way handshake,can_analyze,scanned
114,Sends,has_a,SYN
115,sending,has_a,ACK
116,connection,can_analyze,FIN packets
117,closed,can_analyze,sender
118,received,has_a,response
119,response,can_analyze,RESET packet
120,incoming,can_analyze,UDP packet
121,reveal,can_detect,Trojan horses
122,high UDP ports,can_analyze,hidden RPC services
123,machines,has_a,slow down responses
124,slow down responses,can_analyze,traffic
125,Windows OS,has_a,slowdown feature
126,target system,uses,ICMP Port Unreachable message
127,send,has_a,response
128,response,is_part_of,Nmap
129,Nmap,has_a,time out
130,Closed ports,can_analyze,ICMP port unreachable error
131,host-timeout,can_analyze,slow hosts
132,chill out,is_part_of,Nmap
133,Nmap,uses,scan
134,port scanner,can_analyze,raw IP packets
135,port scanner,can_analyze,SYN packet
136,respond,can_analyze,SYN-ACK packet
137,scanner,can_analyze,host
138,host,has_a,responds
139,responds,can_analyze,RST packet
140,unfiltered,can_analyze,target
141,target,has_a,respond
142,respond,can_analyze,RST packet
143,scan,can_detect,intrusive
144,intrusive,can_harm,target host
145,receive,has_a,connection
146,Attacker,uses,RESET RST
147,established,can_analyze,target
148,log,has_a,connection
149,closed,can_analyze,destination
150,destination,has_a,RESET
151,SYN flood,is_part_of,accidental
152,accidental,is_part_of,denial-of-service attacks
153,denial-of-service attacks,can_harm,target
154,target,has_a,slow
155,sends,can_analyze,TCP FIN packet
156,negatives,is_part_of,IDS
157,IDS,has_a,programs
158,probe,has_a,firewall
159,firewall,has_a,rulesets
160,established connections,can_analyze,packets ACK bit
161,stateful,is_part_of,firewall
162,attacker,uses,packet filtering
163,attacker,uses,established connections
164,established connections,is_part_of,firewall
165,firewall,can_analyze,router
166,network,has_a,ports
167,ports,is_part_of,firewall
168,firewall,has_a,established connection
169,response,can_analyze,ICMP Port Unreachable message
170,Nmap,has_a,target port
171,non-Windows servers,has_a,firewall
172,Windows machines,has_a,respond
173,flags,can_analyze,packet
174,Remote Procedure Call,can_analyze,services
175,remote commands,can_analyze,machine
176,machine,has_a,service
177,RPC services,has_a,ports
178,open,can_analyze,machine
179,program,has_a,name
180,RPC services,has_a,open
181,TCP/UDP ports,can_analyze,target
182,program,has_a,listening
183,host,has_a,requirements
184,IP address,can_analyze,zombie host
185,zombie host,has_a,port number
186,Nmap,can_detect,malicious attacks
187,zombie,has_a,IP ID
188,IP ID,can_analyze,Forge
189,zombie,has_a,port
190,port,can_analyze,target
191,port state,can_analyze,target
192,zombie,has_a,IP ID
193,zombie,has_a,IP ID
194,IP ID,can_analyze,target
195,target,has_a,port state
196,NSE,is_part_of,Nmap Scripting Engine
197,Nmap scripts,has_a,default
198,default,is_part_of,Nmap
199,Nmap,has_a,features
200,features,is_part_of,Nmap
201,Nmap,has_a,output
202,Nmap,has_a,default
203,default,is_part_of,Nmap
204,Nmap,can_analyze,target
205,scanning,has_a,Nmap
206,Nmap,can_analyze,data
207,Nmap,has_a,default
208,run,has_a,services
209,services,can_analyze,remote host
210,run,can_analyze,web servers
211,scripts,has_a,broadcast
212,broadcast,can_analyze,intel
213,scripts,can_detect,brute force attacks
214,Nmap scripts,has_a,default
215,dos script,can_detect,Denial of service attack
216,perform,can_detect,DOS
217,DOS,is_part_of,floods
218,service exploitation,can_analyze,CVEs
219,Scripts,can_analyze,3rd party services
220,3rd party services,uses,data
221,perform,can_detect,fuzzing attacks
222,fuzzing attacks,can_harm,apps
223,intrusive script,has_a,aggressive
224,scripts,has_a,network noise
225,safe script,has_a,Safe
226,version script,can_analyze,OS
227,Nmap,can_analyze,vuln
228,Nmap,has_a,run
229,scripts,has_a,FTP
230,brute force,has_a,password
231,NSE,has_a,scripts
232,scripts,has_a,locally
233,locally,can_analyze,operating system
234,Firewall,is_part_of,Intrusion Prevention Systems IPS
235,Intrusion Prevention Systems IPS,is_part_of,Intrusion Detection Systems IDS
236,Intrusion Detection Systems IDS,has_a,configure
237,IPS security,has_a,Firewall
238,cybercriminals,implements,hack
239,scanning,can_analyze,weaknesses
240,blocked,is_part_of,portmapper
241,portmapper,has_a,port
242,port,is_part_of,Nmap
