DocNo,sentence,tag
D1,Attacks,B-ATTACK
D1,can,O
D1,damage,O
D1,public,B-SYSTEM
D1,domain,I-SYSTEM
,,
D1,IDS,B-TOOL
D1,means,O
D1,Intrusion,B-TECHNIQUE
D1,Detection,I-TECHNIQUE
,,
D1,Snort,B-TOOL
D1,is,O
D1,used,O
D1,for,O
D1,Intrusion,B-TECHNIQUE
D1,Detection,I-TECHNIQUE
,,
D1,Snort,B-TOOL
D1,can,O
D1,detect,O
D1,network,B-ATTACK
D1,attacks,I-ATTACK
,,
D1,Snort,B-TOOL
D1,can,O
D1,also,O
D1,be,O
D1,used,O
D1,as,O
D1,a,O
D1,simple,O
D1,packet,B-TOOL
D1,logger,I-TOOL
,,
D1,Snort,B-TOOL
D1,can,O
D1,analyze,O
D1,real,O
D1,time,O
D1,traffic,B-DATA
,,
D1,Snort,B-TOOL
D1,can,O
D1,analyze,O
D1,real,O
D1,time,O
D1,data,B-FEATURE
D1,flow,I-FEATURE
,,
D1,Snort,B-TOOL
D1,can,O
D1,check,O
D1,protocol,B-TECHNIQUE
D1,analysis,I-TECHNIQUE
,,
D1,Snort,B-TOOL
D1,can,O
D1,detect,B-TECHNIQUE
D1,different,O
D1,types,O
D1,of,O
D1,attacks,B-ATTACK
,,
D1,Snort,B-TOOL
D1,checks,O
D1,the,O
D1,packet,B-DATA
D1,against,O
D1,user,B-FUNCTION
D1,rules,I-FUNCTION
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,can,O
D1,be,O
D1,written,O
D1,in,O
D1,any,O
D1,language,B-FEATURE
,,
D1,Snort,B-FUNCTION
D1,rules,I-FUNCTION
D1,have,O
D1,good,O
D1,structure,O
,,
D1,Snort,B-TOOL
D1,match,O
D1,previous,B-FEATURE
D1,attack,B-FEATURE
D1,pattern,B-FEATURE
,,
D1,Snort,B-TOOL
D1,checks,O
D1,the,O
D1,network,B-FEATURE
D1,behavior,B-FEATURE
,,
D1,Snort,B-TOOL
D1,can,O
D1,discard,O
D1,the,O
D1,bad,B-DATA
D1,packet,I-DATA
,,
D1,Snort,B-TOOL
D1,has,O
D1,a,O
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,forms,O
D1,the,O
D1,packets,B-DATA
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,determines,O
D1,the,O
D1,underlying,O
D1,protocols,B-FEATURE
,,
D1,Packet,B-TOOL
D1,Decoder,I-TOOL
D1,determines,O
D1,packet,B-DATA
D1,data,B-FEATURE
D1,size,I-FEATURE
,,
D1,Packet,B-TOOL
