,Unnamed: 0,Unnamed: 0.1,DocNo,Sno,sentence,tag,c1,c2,compare
0,0,0,D1,1,Attacks can damage public domain,B-attack O O B-system I-system,5,5,1
1,1,1,,0,,,0,0,1
2,2,2,D1,2,IDS means Intrusion Detection,B-tool O B-technique I-technique,4,4,1
3,3,3,,0,,,0,0,1
4,4,4,D1,3,Snort is used for Intrusion Detection,B-tool O O O B-technique I-technique,6,6,1
5,5,5,,0,,,0,0,1
6,6,6,D1,4,Snort can detect network attacks,B-tool O O B-attack I-attack,5,5,1
7,7,7,,0,,,0,0,1
8,8,8,D1,5,Snort can also be used as a simple packet logger,B-tool O O O O O O O B-tool I-tool,10,10,1
9,9,9,,0,,,0,0,1
10,10,10,D1,6,Snort can analyze real time traffic,B-tool O O O O B-data,6,6,1
11,11,11,,0,,,0,0,1
12,12,12,D1,7,Snort can analyze real time data flow,B-tool O O O O B-feature I-feature,7,7,1
13,13,13,,0,,,0,0,1
14,14,14,D1,8,Snort can check protocol analysis,B-tool O O B-technique I-technique,5,5,1
15,15,15,,0,,,0,0,1
16,16,16,D1,9,Snort can detect different types of attacks,B-tool O B-technique O O O B-attack,7,7,1
17,17,17,,0,,,0,0,1
18,18,18,D1,10,Snort checks the packet against user rules,B-tool O O B-data O B-function I-function,7,7,1
19,19,19,,0,,,0,0,1
20,20,20,D1,11,Snort rules can be written in any language,B-function I-function O O O O O B-feature,8,8,1
21,21,21,,0,,,0,0,1
22,22,22,D1,12,Snort rules have good structure,B-function I-function O O O,5,5,1
23,23,23,,0,,,0,0,1
24,24,24,D1,13,Snort match previous attack pattern,B-tool O B-feature B-feature B-feature,5,5,1
25,25,25,,0,,,0,0,1
26,26,26,D1,14,Snort checks the network behavior,B-tool O O B-feature B-feature,5,5,1
27,27,27,,0,,,0,0,1
28,28,28,D1,15,Snort can discard the bad packet,B-tool O O O B-data I-data,6,6,1
29,29,29,,0,,,0,0,1
30,30,30,D1,16,Snort has a Packet Decoder,B-tool O O B-tool I-tool,5,5,1
31,31,31,,0,,,0,0,1
32,32,32,D1,17,Packet Decoder forms the packets,B-tool I-tool O O B-data,5,5,1
33,33,33,,0,,,0,0,1
34,34,34,D1,18,Packet Decoder determines the underlying protocols,B-tool I-tool O O O B-feature,6,6,1
35,35,35,,0,,,0,0,1
36,36,36,D1,19,Packet Decoder determines packet data size,B-tool I-tool O B-data B-feature I-feature,6,6,1
37,37,37,,0,,,0,0,1
38,38,38,D1,20,Packet Decoder looks for header anomalies,B-tool I-tool O O B-vulnerability I-vulnerability,6,6,1
39,39,39,,0,,,0,0,1
40,40,40,D1,21,Snort has a Preprocessor,B-tool O O B-tool,4,4,1
41,41,41,,0,,,0,0,1
42,42,42,D1,22,Preprocessor verify HTTP anomalies,B-tool O B-vulnerability I-vulnerability,4,4,1
43,43,43,,0,,,0,0,1
44,44,44,D1,23,Preprocessor verify FTP anomalies,B-tool O B-vulnerability I-vulnerability,4,4,1
45,45,45,,0,,,0,0,1
46,46,46,D1,24,Preprocessor can modify packet data,B-tool  O O B-data I-data,5,5,1
47,47,47,,0,,,0,0,1
48,48,48,D1,25,Snort has Detection Engine,B-tool O B-tool I-tool,4,4,1
49,49,49,,0,,,0,0,1
50,50,50,D1,26,Detection Engine detects intrusion in packet,B-tool I-tool B-technique B-attack O B-data,6,6,1
51,51,51,,0,,,0,0,1
52,52,52,D1,27,Detection Engine chains the rules,B-tool I-tool O O B-function,5,5,1
53,53,53,,0,,,0,0,1
54,54,54,D1,28,Snort has Log Alert system,B-tool O B-tool I-tool I-tool,5,5,1
55,55,55,,0,,,0,0,1
56,56,56,D1,29,Snort has Output Module,B-tool O B-tool I-tool,4,4,1
57,57,57,,0,,,0,0,1
58,58,58,D1,30,Output Module controls output type,B-tool I-tool O B-feature B-feature,5,5,1
59,59,59,,0,,,0,0,1
60,60,60,D1,31,Output Module sends alerts,B-tool I-tool O B-feature,4,4,1
61,61,61,,0,,,0,0,1
62,62,62,D1,32,Snort set into Sniff mode,B-tool O O B-feature I-feature,5,5,1
63,63,63,,0,,,0,0,1
64,64,64,D1,33,Snort can sniff the Ingress,B-tool O B-technique O B-feature,5,5,1
65,65,65,,0,,,0,0,1
66,66,66,D1,34,Snort can sniff the Egress,B-tool O B-technique O B-feature,5,5,1
67,67,67,,0,,,0,0,1
68,68,68,D1,35,Ingress captures incoming traffic,B-feature O B-data I-data,4,4,1
69,69,69,,0,,,0,0,1
70,70,70,D1,36,Snort sniffs firewall traffic,B-tool B-technique B-data I-data,4,4,1
71,71,71,,0,,,0,0,1
72,72,72,D1,37,Snort has packet logger,B-tool O B-tool I-tool,4,4,1
73,73,73,,0,,,0,0,1
74,74,74,D1,38,The packet logger collects data as file,O B-tool I-tool O B-data O B-data,7,7,1
75,75,75,,0,,,0,0,1
76,76,76,D1,39,Snort can output tcpdump pcap,B-tool O O B-data I-data,5,5,1
77,77,77,,0,,,0,0,1
78,78,78,D1,40,Snort can output unified2,B-tool O O B-tool,4,4,1
79,79,79,,0,,,0,0,1
80,80,80,D1,41,Wireshark can read tcpdump pcap,B-tool O O B-data I-data,5,5,1
81,81,81,,0,,,0,0,1
