,Unnamed: 0,sentence,tag,entity
0,0,Attacks , attack,"('Attacks ', ' attack')"
1,1,public domain , system ,"('public domain ', ' system ')"
2,2, ,, 
3,3,IDS , tool,"('IDS ', ' tool')"
4,4,Intrusion Detection , technique ,"('Intrusion Detection ', ' technique ')"
5,5, ,, 
6,6,Snort , tool,"('Snort ', ' tool')"
7,7,Intrusion Detection , technique ,"('Intrusion Detection ', ' technique ')"
8,8, ,, 
9,9,Snort , tool,"('Snort ', ' tool')"
10,10,network attacks , attack ,"('network attacks ', ' attack ')"
11,11, ,, 
12,12,Snort , tool,"('Snort ', ' tool')"
13,13,packet logger , tool ,"('packet logger ', ' tool ')"
14,14, ,, 
15,15,Snort , tool,"('Snort ', ' tool')"
16,16,traffic , data,"('traffic ', ' data')"
17,17, ,, 
18,18,Snort , tool,"('Snort ', ' tool')"
19,19,data flow , feature ,"('data flow ', ' feature ')"
20,20, ,, 
21,21,Snort , tool,"('Snort ', ' tool')"
22,22,protocol analysis , technique ,"('protocol analysis ', ' technique ')"
23,23, ,, 
24,24,Snort , tool,"('Snort ', ' tool')"
25,25,detect , technique,"('detect ', ' technique')"
26,26,attacks , attack,"('attacks ', ' attack')"
27,27, ,, 
28,28,Snort , tool,"('Snort ', ' tool')"
29,29,packet , data,"('packet ', ' data')"
30,30,user rules , function ,"('user rules ', ' function ')"
31,31, ,, 
32,32,Snort rules , function ,"('Snort rules ', ' function ')"
33,33,language , feature,"('language ', ' feature')"
34,34, ,, 
35,35,Snort rules , function ,"('Snort rules ', ' function ')"
36,36, ,, 
37,37,Snort , tool,"('Snort ', ' tool')"
38,38,previous , feature,"('previous ', ' feature')"
39,39,attack , feature,"('attack ', ' feature')"
40,40,pattern , feature,"('pattern ', ' feature')"
41,41, ,, 
42,42,Snort , tool,"('Snort ', ' tool')"
43,43,network , feature,"('network ', ' feature')"
44,44,behavior , feature,"('behavior ', ' feature')"
45,45, ,, 
46,46,Snort , tool,"('Snort ', ' tool')"
47,47,bad packet , data ,"('bad packet ', ' data ')"
48,48, ,, 
49,49,Snort , tool,"('Snort ', ' tool')"
50,50,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')"
51,51, ,, 
52,52,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')"
53,53,packets , data,"('packets ', ' data')"
54,54, ,, 
55,55,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')"
56,56,protocols , feature,"('protocols ', ' feature')"
57,57, ,, 
58,58,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')"
59,59,packet , data,"('packet ', ' data')"
60,60,data size , feature ,"('data size ', ' feature ')"
61,61, ,, 
62,62,Packet Decoder , tool ,"('Packet Decoder ', ' tool ')"
63,63,header anomalies , vulnerability ,"('header anomalies ', ' vulnerability ')"
64,64, ,, 
65,65,Snort , tool,"('Snort ', ' tool')"
66,66,Preprocessor , tool,"('Preprocessor ', ' tool')"
67,67, ,, 
68,68,Preprocessor , tool,"('Preprocessor ', ' tool')"
69,69,HTTP anomalies , vulnerability ,"('HTTP anomalies ', ' vulnerability ')"
70,70, ,, 
71,71,Preprocessor , tool,"('Preprocessor ', ' tool')"
72,72,FTP anomalies , vulnerability ,"('FTP anomalies ', ' vulnerability ')"
73,73, ,, 
74,74,Preprocessor , tool,"('Preprocessor ', ' tool')"
75,75,packet data , data ,"('packet data ', ' data ')"
76,76, ,, 
77,77,Snort , tool,"('Snort ', ' tool')"
78,78,Detection Engine , tool ,"('Detection Engine ', ' tool ')"
79,79, ,, 
80,80,Detection Engine , tool ,"('Detection Engine ', ' tool ')"
81,81,detects , technique,"('detects ', ' technique')"
82,82,intrusion , attack,"('intrusion ', ' attack')"
83,83,packet , data,"('packet ', ' data')"
84,84, ,, 
