entityID,entityName,entityType,entityCategory,entityDescription
1,Private key,feature,concept,
2,Session Id,feature,concept,
3,Cookies,feature,concept,
4,Protocol,feature,concept,
5,Digital Signature,feature,concept,
6,Http,feature,concept,
7,Service,app,application,
8,Flag,feature,concept,
9,User Account,feature,concept,
10,Password,feature,concept,
11,Config,feature,concept,
12,Security Policy,technique,concept,
13,TCP SYN Packet,data,concept,
14,Traffic,data,concept,
15,Structure,feature,concept,
16,Network Behavior,feature,concept,
17,Packet,data,concept,
18,packet data,data,concept,
19,Anomaly,feature,concept,
20,Output Type,feature,concept,
21,Alert,feature,concept,
22,Snort Status,feature,concept,
23,Payload,data,concept,
24,Icmp Messages,data,concept,
25,XOR,function,concept,
26,Reverse,function,concept,
27,Tcpdump,tool,application,
28,Encryption,function,concept,
29,Decryption,function,concept,
30,Sha,function,concept,
31,Hash,function,concept,
32,concept,function,concept,
33,Commands,function,concept,
34,Sniff Mode,feature,concept,
35,Backup,function,concept,
36,System Variables,data,concept,
37,Snort Rules,function,concept,
38,ICMP Rules,function,concept,
39,Tcp Rules,function,concept,
40,Payload Option,feature,concept,
41,Nonpayload Option,feature,concept,
42,Test,function,concept,
43,Sql Injection,attack,concept,
44,Css,attack,concept,
45,Dos Attack,attack,concept,
46,Theft,attack,concept,
47,Accident,attack,concept,
48,Exodus,attack,concept,
49,Spyware,attack,concept,
50,Trojan,attack,concept,
51,Land Attack,attack,concept,
52,Smurf Attack,attack,concept,
53,Udp Flood Attack,attack,concept,
54,Port Scan Attack,attack,concept,
55,Syn Flood Attack,attack,concept,
56,Network Attacks,attack,concept,
57,Intrusion,attack,concept,
58,Honeypot,technique,concept,
59,Risk Assessment,technique,concept,
60,Ethhical Requirement,technique,concept,
61,steal,technique,concept,
62,Protocol Analysis,technique,concept,
63,Weak Password,vulnerability,concept,
64,Bad Config,vulnerability,concept,
65,Spoofed,vulnerability,concept,
66,Burp,tool,application,
67,Wireshark,tool,application,
68,Nmap,tool,application,
69,Snort,tool,application,
70,Javascript,tool,application,
71,Python,tool,application,
72,Hping3,tool,application,
73,Sniffer,tool,application,
74,Logger,tool,application,
75,Decoder,tool,application,
76,Detection Engine,tool,application,
77,Log Alert System,tool,application,
78,Output Module,tool,application,
79,Preprocessor,tool,application,
80,Linux,system,application,
81,Unix,system,application,
82,IP,feature,concept,
83,Port,feature,concept,
84,Server,system,application,
85,Host,system,application,
86,Address,feature,concept,
87,Lan,system,application,
88,Home Network,system,application,
89,Patents,system,application,
90,Huawei,system,application,
91,Kaspersky Labs,system,application,
92,Mitre,system,application,
93,Client,system,application,
94,Server,system,application,
95,Computer Networking,system,application,
96,Public Domain,system,application,
97,Ingress,feature,concept,
98,Egress,feature,concept,
99,External Network,system,application,
100,Webapp,app,application,
101,Browser,app,application,
102,Data,data,concept,
103,Files,data,concept,
104,Folder,data,concept,
105,Attack Host,attacker,role,
106,Attacker,attacker,role,
107,Black Hat,attacker,role,
108,White Hacker,securityTeam,role,
109,Security Engineer,securityTeam,role,
110,Ethical Hacker,securityTeam,role,
111,User,user,role,
112,Employee,user,role,
113,teamDefense,securityTeam,role,
114,Packet Decoder,tool,application,
115,packet logger,tool,application,
116,Data Flow,feature,concept,
117,packet user rules,function,concept,
118,Intrusion Detection System,tool,application,
119,language,feature,concept,
120,previous attack pattern,feature,concept,
121,service discovery,technique,concept,
122,bad packet,data,concept,
123,header anomaly,vulnerability,concept,
124,HTTP anomaly,vulnerability,concept,
125,FTP anomaly,vulnerability,concept,
126,data packets,data,concept,
127,incoming  traffic,data,concept,
128,firewall traffic,data,concept,
129,tcpdump pcap,data,concept,
130,unified2,tool,application,
131,Detection alert,tool,application,
132,IP packet,data,concept,
133,Firewall,tool,application,
134,config files,data,concept,
135,forwarding,feature,concept,
136,client gateway server,system,application,
137,Network,system,application,
138,Packet forwarding,feature,concept,
139,process,technique,concept,
140,testing,function,concept,
141,Blacklist,feature,concept,
142, domain,system,application,
143,open-source ,feature,concept,
144,network discovery,technique,concept,
145,security auditing,technique,concept,
146,stateful,feature,concept,
147,target machine,system,application,
148,version detection,technique,concept,
149,OS detection,technique,concept,
150,customized packet,data,concept,
151,network diagnostic,function,concept,
152,attacks,attack,concept,
153,security,technique,concept,
154,network administrators,securityTeam,role,
155,map,function,concept,
156,networks,system,application,
157,program,function,concept,
158,live hosts,system,application,
159,port scanning,technique, concept,
160,ping sweeps,technique,concept,
161,devices,system,application,
162,network scanning,technique,concept,
163, services,app,application,
164,operating systems,system,application,
165,command-line interface,tool,application,
166,GUI front-ends,app,application,
167,tool,tool,application,
168,Free BSD,system,application,
169,Gentoo,system,application,
170,enterprise-scale networks,system,application,
171,scan,technique,concept,
172,connected devices,system,application,
173,IoT security,technique,concept,
174,information,data,concept,
175,administrators,securityTeam,role,
176,legitimate,feature,concept,
177, external attacker,attacker,role,
178,open ports,feature,concept,
179,OS,system,application,
180,Vulnerabilities,vulnerability,concept,
181,hacker,attacker,role,
182,site,system,application,
183,attack,attack,concept,
184,processes,technique,concept,
185,scanned,technique,concept,
186,system monitoring,technique,concept,
187,pentesting,technique,concept,
188,Metasploit framework,tool,application,
189,probe,technique,concept,
190,repair ,function,concept,
191,network vulnerabilities,vulnerability,concept,
192,web server,system,application,
193,hosting,feature,concept,
194,website,app,application,
195,security vulnerabilities,vulnerability,concept,
196,system admins,securityTeam,role,
197,connection,feature,concept,
198,scripts,function,concept,
199,automate ,feature,concept,
200,network monitoring,technique,concept,
201,scanning target,system,application,
202,IP address,feature,concept,
203,TCP Connect scan,technique,concept,
204,3-way handshake,technique,concept,
205,TCP Full Connect (Vanilla) Scan,technique,concept,
206,three-way handshake,technique,concept,
207,TCP,feature,concept,
208,DOS,attack,concept,
209,logs,data,concept,
210,tear down,feature,concept,
211,Full scan,technique,concept,
212,SYN,feature,concept,
213,ACK,feature,concept,
214,FIN packets,data,concept,
215,target port,feature,concept,
216,sender,system,application,
217,RESET packet,data,concept,
218,response,feature,concept,
219,ICMP Port Unreachable packet,data,concept,
220,stealthy,attack,concept,
221,connection request,feature,concept,
222,logged,function,concept,
223,behind the firewall,feature,concept,
224,UDP ports,feature,concept,
225,listening,feature,concept,
226,UDP packet,data,concept,
227,positive acknowledgment,feature,concept,
228,open port,feature,concept,
229,false positives,feature,concept,
230,Trojan horses,attack,concept,
231,hidden RPC services,vulnerability,concept,
232,high UDP ports,feature,concept,
233,machines,system,application,
234,slow down responses,feature,concept,
235,Windows OS,system,application,
236,slowdown feature,feature,concept,
237,Windows hosts,system,application,
238,Windows,system,application,
239,UDP service,app,application,
240,target system,system,application,
241,ICMP Port Unreachable message,data,concept,
242,closed,feature,concept,
243,open,feature,concept,
244,unreliable,feature,concept,
245,filtered ports,feature,concept,
246,Ack scanning,feature,concept,
247,ACK packet,data,concept,
248,time out,feature,concept,
249,ICMP port unreachable error,feature,concept,
250,rate limit,technique,concept,
251,speed up,feature,concept,
252,host parallelism,feature,concept,
253,parallelism,feature,concept,
254,min-hostgroup,feature,concept,
255,popular ports,feature,concept,
256,version-intensity,feature,concept,
257,version detection scans,technique,concept,
258,packet logging,function,concept,
259,host-timeout,feature,concept,
260,slow hosts,system,application,
261,verbosity,feature,concept,
262,chill out,feature,concept,
263,scanner,tool,application,
264,SYN scan,technique,concept,
265,TCP scanning,technique,concept,
266,network functions,function,concept,
267,port scanner,tool,application,
268,raw IP packets,data,concept,
269,monitors,technique,concept,
270,responses,feature,concept,
271,half-open scanning,technique,concept,
272,full TCP connection,feature,concept,
273,exploitation packets,data,concept,
274,open connection,feature,concept,
275,SYN packet,data,concept,
276,user rules,function,concept,
277,sniff,technique,concept,
278,conf file,data,concept,
279,gateway,system,application,
280,active,feature,concept,
281,business website,system,application,
282,personal website,system,application,
283,attacking,attack,concept,
284,noisy,feature,concept,
285,incoming,feature,concept,
286,reveal,feature,concept,
287,slowdown,feature,concept,
288,slow,feature,concept,
289,behind firewall,feature,concept,
290,SYN-ACK packet,data,concept,
291,handshake,technique,concept,
292,unfiltered,feature,concept,
293,intrusive,attack,concept,
294,receive,function,concept,
295,detect,technique,concept,
296,half-open scan,technique,concept,
297,half open scan,technique,concept,
298,RESET (RST),feature,concept,
299,RESET,feature,concept,
300,RST,feature,concept,
301,SYN-ACK,feature,concept,
302,SYN-ACK response,feature,concept,
303,establish,feature,concept,
304,log,function,concept,
305,destination,system,application,
306,SYN Flood,attack,concept,
307,accidental,attack,concept,
308,denial-of-service,attack,concept,
309,denial-of-service attacks,attack,concept,
310,FIN Scan,technique,concept,
311,TCP FIN packet,data,concept,
312,ACK code bit set,data,concept,
313,ACK scan,technique,concept,
314,ruleset,function,concept,
315,packet filtering,technique,concept,
316,established connections,feature,concept,
317,listening connection,feature,concept,
318,ACK bit set,data,concept,
319,router,system,application,
320,packet filter,technique,concept,
321,blocking,feature,concept,
322,block,feature,concept,
323,negative,feature,concept,
324,concept,technique,concept,
325,TCP header flags,feature,concept,
326,Windows operating systems,system,concept,
327,NULL scans,technique,concept,
328,non-Windows servers,system,application,
329,XMAS scan,technique,concept,
330,TCP header,feature,concept,
331,Windows machines,system,application,
332,TCP stack,feature,concept,
333,PSH,feature,concept,
334,URG,feature,concept,
335,concept,feature,concept,
336,FIN,feature,concept,
337,RPC,function,concept,
338,Remote Procedure Call,function,concept,
339,remote commands,function, concept,
340,RPC services,app,application,
341,name,feature,concept,
342,version,feature,concept,
343,run,function,concept,
344,TCP/UDP ports,feature,concept,
345,RPC Null commands,function,concept,
346,IDLE scan,technique,concept,
347,stealthy method,technique,concept,
348,external host,system,application,
349,requirement,feature,concept,
350,zombie host,system,application,
351,zombie,system,application,
352,port number,feature,concept,
353,malicious attacks,attack,concept,
354,IP ID,feature,concept,
355,Null commands,function,concept,
356,Forge,vulnerability,concept,
357,port state,feature,concept,
358,NSE,tool,application,
359,Nmap Scripting Engine,tool,application,
360,Nmap scripts,function,concept,
361,Lua programming language,tool,application,
362,programming language,tool,application,
363,Prerule scripts,function,concept,
364,remote target ,system,application,
365,remote host,system,application,
366,exploration,technique,concept,
367,software discovery,technique,concept,
368,service scripts,function,concept,
369,host scripts,function,concept,
370,Postrule scripts,function,concept,
371,parsing,function,concept,
372,formatting,function,concept,
373,auth script,function,concept,
374,authentication,technique,concept,
375,user privilege,feature,concept,
376,broadcast script,function,concept,
377,broadcast ,feature,concept,
378,intel,system,application,
379,brute script,function,concept,
380,brute force attacks,attack,concept,
381,access credentials,feature,concept,
382,default ,feature,concept,
383,discovery script,function,concept,
384,Denial of service attack,attack,concept,
385,perform,function,concept,
386,floods,attack,concept,
387,exploit,function,concept,
388,exploitation,technique,concept,
389,service exploitation,technique,concept,
390,CVE,vulnerability,concept,
391,Common Vulnerabilities and Exposures,vulnerability,concept,
392,3rd party services,app,application,
393,locally,feature,concept,
394,remote,feature,concept,
395,HTTP-brute script,function,concept,
396,HTTP service scripts,function,concept,
397,brute force script,function,concept,
398,default script,function,concept,
399,dos script,function,concept,
400,exploit script,function,concept,
401,external  script  ,function,concept,
402,fuzzer script,function,concept,
403,fuzzing attacks,attack,concept,
404,intrusive script,function,concept,
405,aggressive,feature,concept,
406,network noise,feature,concept,
407,malware script,function,concept,
408,Malware detections,technique,concept,
409,safe script,function,concept,
410,Safe,feature,concept,
411,non-intrusive,feature,concept,
412,version script,function,concept,
413,vuln script,function,concept,
414,vuln,vulnerability,concept,
415,vulnerability detection,technique,concept,
416,Metasploitable 2 host,system,application,
417,wildcards,function,concept,
418,pattern,feature,concept,
419,FTP,feature,concept,
420,auditing,technique,concept,
421,concept,feature,concept,
422,digest,function,concept,
423,ntlm authentication,technique,concept,
424,syntax,feature,concept,
425,Intrusion Prevention Systems (IPS),tool,application,
426,IPS,tool,application,
427,Intrusion Prevention Systems,tool,application,
428,Intrusion Detection Systems (IDS),tool,application,
429,configure,function,concept,
430,perimeter security,technique,concept,
431,defensive perimeter,technique,concept,
432,Penetration (Pen) Testing services,technique,concept,
433,Penetration Testing,technique,concept,
434,Pen Test,technique,concept,
435,organization,system,application,
436,IDS,tool,application,
437,IPS security,technique,concept,
438,network security,technique,concept,
439,Cyberinfrastructures,system,application,
440,prevention,technique,concept,
441,performance assessments,technique,concept,
442,performance ,feature,concept,
443,topology,feature,concept,
444,assessments,technique,concept,
445,static,feature,concept,
446,cybercriminals,attacker,role,
447,evading,technique,concept,
448,hack,attack,concept,
449,weakness,vulnerability,concept,
450,VM,system,application,
451,pentest,technique,concept,
452,security systems,system,application,
453,self-targeted evading activities,technique,concept,
454,ethical hacking,technique,concept,
455,white hats,securityTeam,role,
456,white-hats,securityTeam,role,
457,blocked,feature,concept,
458,port mapper,tool,application,
459,portmapper,tool,application,
460,concept,technique,concept,
461,RPC scan,technique,concept,
462,bad guys,attacker,role,
463,configuring,function,concept,
464,security holes,vulnerability,concept,
465,attackers,attacker,role,
466,evading,technique,concept,
467,Product evaluation,technique,concept,
468,protection,feature,concept,
469,Pentesting tools,tool,application,
470,Syslog,tool,application,
471,firewall rules,function,concept,
472,sneaking past,technique,concept,
473,sneaking ,technique,concept,
474,cyber defenders,securityTeam,role,
475,cybersecurity,technique,concept,
476,pen tester,securityTeam,role,
477,security performance,technique,concept,
478,setup,system,application,
479,systems,system,application,
480,IDS system,tool,application,
481,white-box testing strategy,technique,concept,
482,white-box testing,technique,concept,
483,white-box test,technique,concept,
484,white-box tester,securityTeam,role,
485,iptables,app,application,
486,configuration,feature,concept,
487,configuration flaws,vulnerability,concept,
488,networking system setup,system,application,
489,networking system,system,application,
490,networking,system,application,
491,output,feature,concept,
492,explore,technique,concept,
493,System configurations,feature,concept,
494,close,feature,concept,
495,filter,feature,concept,
496,unfilter,feature,concept,
497,reachable services,app,application,
498,nodes,system,application,
499,node,system,application,
500,performance measurements,technique,concept,
501,detection,technique,concept,
502,detection threshold setup,feature,concept,
503,Metasploitable-2,system,application,
504,attack scenarios,attack,concept,
505,virtual machine,system,application,
506,configuration vulnerabilities,vulnerability,concept,
