,e1,r,e2
0,Attacks,can_harm,public domain
1,IDS,uses,Intrusion Detection
2,Snort,uses,Intrusion Detection
3,Snort,can_detect,network attacks
4,packet logger,is_part_of,Snort
5,Snort,can_analyze,traffic
6,Snort,has_a,data flow
7,Snort,uses,protocol analysis
8,Snort,uses,detection technique
9,detection technique,can_detect,attacks
10,Snort,can_analyze,packet
11,Snort rules,has_a,language
12,Snort,can_analyze,previous attack pattern
13,Snort,can_analyze,network behavior
14,Snort,can_analyze,bad packet
15,Packet Decoder,is_part_of,Snort
16,Packet Decoder,can_analyze,packets
17,Packet Decoder,has_a,protocols
18,Packet Decoder,can_analyze,packet
19,Packet Decoder,can_analyze,header anomalies
20,Preprocessor,is_part_of,Snort
21,Preprocessor,can_analyze,HTTP anomalies
22,Preprocessor,can_analyze,FTP anomalies
23,Preprocessor,can_analyze,packet data
24,Detection Engine,is_part_of,Snort
25,Detection Engine,uses,detection technique
26,detection technique,can_detect,intrusion
27,intrusion,can_harm,packet
28,Detection Engine,has_a,rules
29,Log Alert system,is_part_of,Snort
30,Output Module,is_part_of,Snort
31,Output Module,has_a,output
32,Output Module,has_a,alerts
33,Snort,has_a,Sniff mode
34,Snort,uses,sniff
35,Ingress,can_analyze,incoming traffic
36,packet logger,can_analyze,data
37,Snort,can_analyze,tcpdump pcap
38,unified2,is_part_of,Snort
39,Wireshark,can_analyze,tcpdump pcap
40,Detection alert,can_analyze,IP packets
41,Snort rules,can_analyze,system variables
42,Snort rules,has_a,payload options
43,payload options,can_analyze,data
44,Snort rules,has_a,non payload options
45,Packet forwarding,can_analyze,Gateway
46,Firewall,uses,sniff
47,Firewall,has_a,testing
48,Nmap,has_a,open source
49,open source,is_part_of,tool
50,Nmap,uses,network discovery
51,Nmap,uses,security auditing
52,Nmap,can_analyze,exposed
53,target machine,uses,information
54,nmap,can_analyze,packets
56,Nmap,has_a,network mapper
57,network discovery,has_a,tools
58,Nmap,is_part_of,tools
59,network administrators,implements,map
60,map,can_analyze,networks
61,program,can_analyze,live hosts
62,Nmap,uses,network scanning
63,network scanning,has_a,tool
64,tool,can_analyze,IP packets
65,network,uses,information
66,Nmap,can_analyze,enterprise-scale networks
67,scan,can_analyze,connected devices
68,Nmap,uses,IoT security
69,Nmap,can_analyze,information
70,legitimate,can_analyze,service
71,live hosts,has_a,open ports
72,open ports,can_analyze,OS
73,scan,can_analyze,server
74,hacker,implements,attack
75,attack,can_harm,site
76,Nmap,uses,processes
77,active,can_analyze,networks
78,networks,has_a,IP
79,administrators,can_analyze,IP
83,tool,uses,system monitoring
84,Nmap,is_part_of,Metasploit framework
85,Metasploit framework,uses,probe
86,probe,can_analyze,network vulnerabilities
88,users,uses,personal
89,Nmap,uses,scan
90,web server,has_a,hosting
91,hosting,can_analyze,website
92,hacker,uses,process
93,process,can_detect,attack
95,Attacking,can_harm,site
96,site,can_expose,security vulnerabilities
98,system admins,implements,programs
99,tools,has_a,program
100,network monitoring,has_a,tools
101,Nmap,is_part_of,command-line interfaces
102,scripts,has_a,automate
103,target,has_a,IP address
104,open,can_analyze,operating system
105,operating system,has_a,TCP
106,three-way handshake,has_a,port scanner
107,port scanner,has_a,connection
108,connection,can_detect,DOS
109,log,can_analyze,sender
110,sender,has_a,IP address
111,IP address,is_part_of,Intrusion Detection Systems
112,3-way handshake,can_analyze,scanned
113,Sends,has_a,SYN
114,sending,has_a,ACK
115,connection,can_analyze,FIN packets
116,closed,can_analyze,sender
117,received,has_a,response
118,response,can_analyze,RESET packet
119,incoming,can_analyze,UDP packet
120,reveal,can_detect,Trojan horses
121,high UDP ports,can_analyze,hidden RPC services
122,machines,has_a,slow down responses
123,slow down responses,can_analyze,traffic
124,Windows OS,has_a,slowdown feature
125,target system,uses,ICMP Port Unreachable message
126,send,has_a,response
127,response,is_part_of,Nmap
128,Nmap,has_a,time out
129,Closed ports,can_analyze,ICMP port unreachable error
130,host-timeout,can_analyze,slow hosts
131,chill out,is_part_of,Nmap
133,port scanner,can_analyze,raw IP packets
134,port scanner,can_analyze,SYN packet
135,respond,can_analyze,SYN-ACK packet
136,scanner,can_analyze,host
137,host,has_a,responds
138,responds,can_analyze,RST packet
139,unfiltered,can_analyze,target
140,target,has_a,respond
141,respond,can_analyze,RST packet
142,scan,can_detect,intrusive
143,intrusive,can_harm,target host
144,receive,has_a,connection
145,Attacker,uses,RESET RST
146,established,can_analyze,target
147,log,has_a,connection
148,closed,can_analyze,destination
149,destination,has_a,RESET
150,SYN flood,is_part_of,accidental
151,accidental,is_part_of,denial-of-service attacks
152,denial-of-service attacks,can_harm,target
153,target,has_a,slow
154,sends,can_analyze,TCP FIN packet
155,negatives,is_part_of,IDS
156,IDS,has_a,programs
157,probe,has_a,firewall
158,firewall,has_a,rulesets
159,established connections,can_analyze,packets ACK bit
160,stateful,is_part_of,firewall
161,attacker,uses,packet filtering
162,attacker,uses,established connections
163,established connections,is_part_of,firewall
164,firewall,can_analyze,router
165,network,has_a,ports
166,ports,is_part_of,firewall
167,firewall,has_a,established connection
168,response,can_analyze,ICMP Port Unreachable message
169,Nmap,has_a,target port
170,non-Windows servers,has_a,firewall
171,Windows machines,has_a,respond
172,flags,can_analyze,packet
173,Remote Procedure Call,can_analyze,services
174,remote commands,can_analyze,machine
175,machine,has_a,service
176,RPC services,has_a,ports
177,open,can_analyze,machine
178,program,has_a,name
179,RPC services,has_a,open
180,TCP/UDP ports,can_analyze,target
181,program,has_a,listening
182,host,has_a,requirements
183,IP address,can_analyze,zombie host
184,zombie host,has_a,port number
185,Nmap,can_detect,malicious attacks
186,zombie,has_a,IP ID
187,IP ID,can_analyze,Forge
188,zombie,has_a,port
189,port,can_analyze,target
190,port state,can_analyze,target
193,IP ID,can_analyze,target
194,target,has_a,port state
195,NSE,is_part_of,Nmap Scripting Engine
196,Nmap scripts,has_a,default
197,default,is_part_of,Nmap
